month,level_1,value
2006-12,Total (Excluding Motor Vehicles),87.4
2007-01,Total,109.5
2007-01,Total (Excluding Motor Vehicles),88.4
2007-02,Total,106.7
2007-02,Total (Excluding Motor Vehicles),90.5
2007-03,Total,108
2007-03,Total (Excluding Motor Vehicles),90.6
2007-04,Total,108
2007-04,Total (Excluding Motor Vehicles),91.5
2007-05,Total,110.6
2007-05,Total (Excluding Motor Vehicles),92.3
2007-06,Total,118.6
2007-06,Total (Excluding Motor Vehicles),101.2
2007-07,Total,100.7
2007-07,Total (Excluding Motor Vehicles),90.6
2007-08,Total,108
2007-08,Total (Excluding Motor Vehicles),91.5
2007-09,Total,109.2
2007-09,Total (Excluding Motor Vehicles),93.2
2007-10,Total,107.1
2007-10,Total (Excluding Motor Vehicles),92.2
2007-11,Total,105
2007-11,Total (Excluding Motor Vehicles),93.8
2007-12,Total,106.3
2007-12,Total (Excluding Motor Vehicles),92.3
2008-01,Total,107.8
2008-01,Total (Excluding Motor Vehicles),93
2008-02,Total,110.2
2008-02,Total (Excluding Motor Vehicles),94.1
2008-03,Total,106.7
2008-03,Total (Excluding Motor Vehicles),95.2
2008-04,Total,109.9
2008-04,Total (Excluding Motor Vehicles),92.4
2008-05,Total,108.9
2008-05,Total (Excluding Motor Vehicles),94.1
2008-06,Total,107.3
2008-06,Total (Excluding Motor Vehicles),93.4
2008-07,Total,106.7
2008-07,Total (Excluding Motor Vehicles),93.6
2008-08,Total,104.8
2008-08,Total (Excluding Motor Vehicles),96.1
2008-09,Total,110.4
2008-09,Total (Excluding Motor Vehicles),94.6
2008-10,Total,100.1
2008-10,Total (Excluding Motor Vehicles),93.3
2008-11,Total,98.6
2008-11,Total (Excluding Motor Vehicles),91
2008-12,Total,101.6
2008-12,Total (Excluding Motor Vehicles),91
2009-01,Total,93.4
2009-01,Total (Excluding Motor Vehicles),87.1
2009-02,Total,100.8
2009-02,Total (Excluding Motor Vehicles),87
2009-03,Total,97.8
2009-03,Total (Excluding Motor Vehicles),89.6
2009-04,Total,95.4
2009-04,Total (Excluding Motor Vehicles),89.5
2009-05,Total,95.5
2009-05,Total (Excluding Motor Vehicles),90.2
2009-06,Total,97
2009-06,Total (Excluding Motor Vehicles),91.9
2009-07,Total,94.9
2009-07,Total (Excluding Motor Vehicles),91.8
2009-08,Total,97.8
2009-08,Total (Excluding Motor Vehicles),93.1
2009-09,Total,95
2009-09,Total (Excluding Motor Vehicles),92.8
2009-10,Total,95.7
2009-10,Total (Excluding Motor Vehicles),92.3
2009-11,Total,95.7
2009-11,Total (Excluding Motor Vehicles),92.7
2009-12,Total,95.9
2009-12,Total (Excluding Motor Vehicles),92.6
2010-01,Total,99.9
2010-01,Total (Excluding Motor Vehicles),94.9
2010-02,Total,96.8
2010-02,Total (Excluding Motor Vehicles),94.9
2010-03,Total,93.8
2010-03,Total (Excluding Motor Vehicles),94.5
2010-04,Total,91
2010-04,Total (Excluding Motor Vehicles),94.3
2010-05,Total,88.8
2010-05,Total (Excluding Motor Vehicles),95.3
2010-06,Total,89.8
2010-06,Total (Excluding Motor Vehicles),93.9
2010-07,Total,92.1
2010-07,Total (Excluding Motor Vehicles),95.3
2010-08,Total,95.2
2010-08,Total (Excluding Motor Vehicles),97
2010-09,Total,96.1
2010-09,Total (Excluding Motor Vehicles),97.8
2010-10,Total,92.9
2010-10,Total (Excluding Motor Vehicles),96.9
2010-11,Total,95
2010-11,Total (Excluding Motor Vehicles),98.8
2010-12,Total,95.2
2010-12,Total (Excluding Motor Vehicles),98.5
2011-01,Total,91.1
2011-01,Total (Excluding Motor Vehicles),99.4
2011-02,Total,90.8
2011-02,Total (Excluding Motor Vehicles),98.9
2011-03,Total,92.3
